frame_id,decode_latency,depth_latency
0,15919,490
1,5755,1105
2,5797,1053
3,73651,818
4,87852,670
5,7787,595
6,3593,1416
7,3673,891
8,234546,528
9,2779,397
10,4406,794
11,117727,357
12,2833,416
13,5708,1105
14,174036,1080
15,34942,586
16,126402,1492
17,49848,3011
18,28662,566
19,10336,472
20,2919,348
21,106822,616
22,6003,747
23,2878,329
24,203694,370
25,2906,3655
26,98522,352
27,4327,707
28,3338,363
29,5675,397
30,4358,358
31,4470,330
32,226524,741
33,37350,1623
34,87194,588
35,12727,423
36,11281,38694
37,7717,238
38,3360,1421
39,152142,756
40,158225,361
41,26714,342
42,49696,313
43,2781,355
44,3412,584
45,3516,82648
46,4494,374
47,4763,647
48,2777,620
49,2463,568
50,5266,320
51,300058,270
52,4840,547
53,90558,1085
54,144879,2271
55,21195,528
56,41817,564
57,48765,848
58,91485,549
59,3970,319
60,3312,704
61,280612,337
62,47138,668
63,4786,364
64,4974,391
65,4904,614
66,3499,279
67,3753,304
68,4049,344
69,6021,770
70,5201,700
71,3385,310
72,2996,366
73,3569,312
74,3275,251
75,402651,532
76,2576,505
77,3253,429
78,2461,178
79,151580,957
80,13884,386
81,3463,254
82,3100,237
83,2659,254
84,198628,3029
85,5596,957
86,4590,340
87,2576,420
88,3521,369
89,263764,493
90,2619,571
91,70960,1058
92,2860,408
93,27427,3614
94,176663,1183
95,2526,381
96,3865,300
97,2563,348
98,2815,233
99,4355,466
100,268574,412
101,3572,358
102,4884,742
103,117874,464
104,3962,764
105,4907,406
106,4333,1114
107,215113,1618
108,3091,1015
109,2688,348
110,2962,328
111,179156,1779
112,15717,271
113,6094,878
114,195909,224
115,60042,10522
116,4809,374
117,4522,654
118,158925,476
119,2817,889
120,2843,386
121,3318,205433
122,85800,504
123,120012,203
124,3786,425
125,66533,633
126,5385,360
127,4842,469
128,2537,327
129,3537,507
130,2951,293
131,4001,1362
132,352276,724
133,23499,612
134,23221,1892
135,3373,332
136,4045,597
137,183333,237
138,2632,398
139,5933,949
140,3971,654
141,5429,362
142,2658,340
143,6093,771
144,4234,386
145,4527,357
146,2810,305
147,354989,593
148,72722,614
149,151563,312
150,5764,1237
151,16023,664
152,4485,687
153,3045,481
154,4927,350
155,217333,1218
156,4127,646
157,3460,401
158,6038,1032
159,4035,348
160,265030,1443
161,3617,321
162,5728,419
163,219433,908
164,10235,914
165,5701,688
166,174952,347
167,6435,923
168,164837,259
169,13261,2042
170,2994,549
171,5135,398
172,216647,342
173,4784,404
174,4542,695
175,238738,909
176,12364,608
177,3757,402
178,5669,473
179,144020,436
180,50481,5511
181,53025,2471
182,3773,362
183,3836,420
184,3815,701
185,4065,573
186,272415,831
187,40198,4579
188,134051,561
189,3396,585
190,5917,788
191,2923,1137
192,3619,338
193,3907,928
194,245425,239
195,6685,689
196,5027,609
197,5490,377
198,3835,339
199,2573,341
200,5442,395
201,5979,1262
202,386784,989
203,3803,500
204,4082,614
205,4063,266
206,2832,327
207,4148,681
208,183008,306
209,6734,403
210,2863,368
211,2690,330
212,2904,407
213,2956,350
214,2816,295
215,342355,535
216,2542,310
217,3502,1049
218,4305,364
219,5973,939
220,4082,896
221,4561,566
