frame_id,total_latency(μs),algorithm_latency(μs)
0,252640,243865
1,260935,260523
2,262920,262508
3,262255,261842
4,259259,258865
5,261279,260816
6,261974,261514
7,262153,261696
8,261445,261011
9,260446,259998
10,261633,261235
11,261264,260801
12,262832,262437
13,259940,259550
14,261089,260639
15,263859,263457
16,259193,258766
17,262807,262387
18,263340,262902
19,261530,261103
20,313391,312942
21,318483,318029
22,311492,311043
23,315012,314414
24,314157,313719
25,312944,312520
26,316909,316227
27,312796,312319
28,315921,315507
29,312023,311591
30,312841,312407
31,317634,317127
32,312295,311825
33,315058,314587
34,314595,314158
35,312404,311976
36,316399,315924
37,311199,310765
38,315644,315291
39,317427,316847
40,368963,368502
41,364469,364023
42,370202,369800
43,366279,365744
44,367734,367273
45,367534,367080
46,368953,368475
47,367133,366691
48,368820,368363
49,366979,366555
50,365314,364875
51,370444,370006
52,369859,369346
53,421558,421080
54,422447,421952
55,425557,425099
56,425346,424849
57,425921,425446
58,424937,424487
59,426267,425836
60,425141,424549
61,427805,427320
62,429364,428923
63,430999,430526
64,428215,427800
65,427846,427409
66,430528,430100
67,431551,431109
68,430086,429495
69,429723,429281
70,430480,430032
71,428912,428476
72,431494,431065
73,431960,431476
74,430651,430145
75,432525,431961
76,432559,432130
77,433278,432821
78,432749,432308
79,431551,431083
80,431644,431167
81,435504,434943
82,432218,431762
83,433918,433447
84,432838,432290
85,431655,431203
86,436809,436369
87,437090,436612
88,435141,434695
89,437114,436668
90,422090,421611
91,423983,423542
92,424149,423663
93,424759,424251
94,424614,424110
95,424424,424009
96,424339,423942
97,426098,425673
98,425046,424610
99,421837,421411
100,423882,423449
101,426767,426341
102,424986,424535
103,424327,423904
104,425010,424574
105,429276,428835
106,426348,425852
107,423894,423438
108,427033,426614
109,435665,435250
110,479024,478542
111,463207,462698
112,458550,458005
113,456441,455881
114,445783,445253
115,432850,432385
116,429106,428650
117,429308,428842
118,429555,429121
119,429801,429356
120,429223,428785
121,429853,429393
122,429904,429419
123,432785,432338
124,427837,427394
125,430171,429739
126,430355,429913
127,430987,430546
128,431057,430605
129,430503,429982
130,431173,430729
131,432960,432524
132,429964,429536
133,433414,432948
134,437983,437550
135,449127,448580
136,450702,450246
137,442901,442366
138,454751,454221
139,447481,446931
140,517780,517287
141,409873,409225
142,448454,447967
143,447215,446648
144,447801,447307
145,439383,438816
146,444422,443914
147,451267,450784
148,452419,451919
149,434098,433609
150,442106,441655
151,455187,454687
152,467139,466457
153,449777,449196
154,439781,439261
155,441686,441157
156,450335,449880
157,449731,449241
158,454448,453971
159,448499,447934
160,439102,438614
161,442826,442343
162,444401,443883
163,470804,470315
164,454744,454193
165,448147,447620
166,451353,450808
167,474112,473586
168,461268,460753
169,469675,469147
170,446357,445854
171,477392,476892
172,483614,483011
173,461616,460748
174,471867,471300
175,461007,460416
176,446371,445803
177,439845,439360
178,436675,436154
179,438662,438180
180,434336,433809
181,436019,435538
182,435793,435344
183,434389,433921
184,434397,433934
185,437790,437322
186,432690,432224
187,435355,434891
188,435353,434851
189,432119,431643
190,435337,434855
191,437371,436910
192,434967,434512
193,431782,431312
194,434447,433985
195,433771,433311
196,436469,435990
197,432583,432123
198,436526,436058
199,436002,435537
200,431250,430788
201,434421,433923
202,433909,433418
203,433426,432958
204,435633,435188
205,435493,435023
206,435327,434814
